         2 	1.2625
         4 	0.8955
         8 	0.3930
        16 	0.4230
        32 	0.3828
        64 	0.4349
       128 	0.2876
       256 	0.2765
       512 	0.2388
      1024 	0.2272
      2048 	0.2204
      4096 	0.2032
      8192 	0.2013
     16384 	0.1683
